t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
44,-0.9716114,-0.70656675,-1.0,-0.60282147,-1.0,-0.9907697448553903,0,"[693.6818296164349 5150.759681924474 4029.5058623773566 731.9887469732956
 14.875550369066556 57.830664336649455 277.10600610643246
 793.4681794094417 1318.633256324758 1272.2900514137414 774.1337144944717
 343.8140672790176 192.27090750412356 162.38331175523894 123.0451033534797
 74.01560327292466 35.146103925167154 16.166202223969727 6.201084577948287
 0.9632886937446068 0.012332361639869616]"
45,-0.973916,-0.6659062,-1.0,-0.5065527,-1.0,-1.010374613158142,0,"[68.33105374700038 1030.879653101504 4069.9364756839827 3820.682358056839
 1190.3863354354612 133.89908766397366 106.12058082502128
 371.05643206131197 805.6720031483708 1095.9418377753393 919.4011028034258
 516.5341696798789 244.23230096024562 148.5190173272207 116.77910426481263
 80.01155457123068 37.88308537367801 16.231890959563927 6.201128007056942
 0.9632886943687426 0.012332361639869616]"
46,-0.9783023,-0.6318106,-1.0,1.0,-1.0,-1.0339029298871716,0,"[7.068529724576034 164.5351878992712 1249.0684759240442 3515.620554286074
 3447.456937766724 1360.0722700790175 256.9673314596155 174.1977778188976
 426.2931997915593 729.9676503354004 830.3393070926437 614.4474335273453
 329.1449042251948 170.9248810163822 109.5515126174888 72.84861495987734
 42.258681756337914 18.343517801496017 6.660101338045477
 1.1857710447746412 0.015407530877247444]"
47,-0.98538,-0.6140749,-1.0,-0.6937736,-1.0,-1.1148507923413127,0,"[0.7886551796888236 24.607836069381307 285.33991006372963
 1436.9933068018815 3189.8538801094783 3013.4081117507167
 1265.7096570608771 269.0122645044472 138.32719328237386
 230.56916471760508 322.42864852332457 314.16613170204886
 208.53627352351845 111.92595254569682 57.16157945516982
 30.646145869594662 19.750294994991425 10.224920389693597
 4.5969906508539795 0.9373632899395998 0.012321178417171064]"
48,-0.9857622,-0.68933666,-1.0,-0.6768187,-1.0,-1.1287155389518109,0,"[0.01656898001953542 2.979441089294585 56.39834320832363 432.8722236009977
 1619.6368253347766 2968.010805306812 2613.738551294664 1140.3278257655427
 286.18199499229075 156.504139568479 224.09725896979393 275.110854564443
 229.92214737421307 138.00260315366978 71.46536349368107 36.66536037383272
 20.65396981604728 10.609357462960093 4.852358075673472 0.9416777893471153
 0.01232304221380165]"
49,-0.97990805,-0.75330395,-1.0,-0.69053125,-1.0,-1.1443350163228603,0,"[0.0014470165094819703 0.2929810022899581 9.847310435832282
 111.22984248362162 606.2726669081626 1774.9486069320876
 2735.5042189124306 2153.5407012829182 897.7727252689328 259.4794717481582
 168.68817410232978 217.8788775200391 225.37818784852146 164.3422720283421
 88.11016147671144 41.64611891941653 22.12584579206531 11.648959913305662
 3.7927978101808644 0.49245939976027575 0.0061708406436975505]"
50,-0.9741923,-0.77415043,-1.0,-0.87549686,-1.0,-1.1610416319927646,0,"[1.558966550123895e-06 0.008486614297036005 1.2875784234404373
 24.59668303981151 194.67765404424074 808.9803137181933 1872.621096207696
 2381.3940155207815 1651.2651046307333 684.5055407724891
 235.52894703160055 178.88674332511772 202.12583341639098
 178.56902853911876 108.78026100214939 51.87204954055608
 25.759818605831292 13.312073792392106 4.321495503249233
 0.5010980002787548 0.006174568347687481]"
51,-0.9711922,-0.74866754,-1.0,-0.4665245,-1.0,-1.1738935668390775,0,"[1.94885431394923e-07 0.0010638579500108307 0.17425749795813344
 4.767164663512521 54.51256572099322 316.00200067126116 1021.2365816668768
 1913.9310434554386 2072.90679227677 1302.4869521031353 530.3886409349552
 220.7887305228498 186.29134509970785 183.97431497377087
 131.76483280538002 70.43285157722299 33.742033334300395
 16.208727998651714 4.87417080037474 0.509749403458585
 0.006178296199315758]"
52,-0.96715873,-0.72621703,-1.0,-0.61130273,-1.0,-1.2013522507467953,0,"[7.33521778e+03 3.50550518e+03 8.07373544e-01 2.00000001e+00
 2.90000000e+01 1.72000000e+02 6.27000000e+02 1.34100000e+03
 1.57100000e+03 1.01900000e+03 4.23000000e+02 1.92000000e+02
 1.57000000e+02 1.60000000e+02 1.19000000e+02 6.10000000e+01
 2.50000000e+01 1.50000000e+01 3.00000000e+00 0.00000000e+00
 0.00000000e+00]"
53,-0.97417015,-0.705138,-1.0,-0.6005573,-1.0,-1.2199210023308247,0,"[708.3014043355997 5259.3136515601 4114.430539466027 747.5843871173496
 16.346026717355187 61.30109723700684 276.36704640662276 763.8133371714347
 1266.0006684739844 1220.7308416066169 709.2975130131337 301.3506567974908
 167.73257741521223 145.44795858881864 117.92923329126899
 70.49777952377072 32.920093490958905 15.988659234956138 5.117557565187161
 0.5140575016524498 0.006180159922127171]"
