t,rep,td3Agent_rew,ppoAgent_rew,tqcAgent_rew,recurrentPPOAgent_rew,constantAgent_rew
17,2,-0.3720123301757427,-0.3732668437782736,-0.3711390342686529,-1.7198415959231883,-2.4150286357976416
18,2,-0.3836820316971633,-0.528811255727055,-0.40081200095723,-1.720111980386433,-2.4356953819512275
19,2,-0.4048810270384296,-0.7608048616358416,-0.432436773440104,-1.7414229471951086,-2.4563824820938915
20,2,-0.4448733657016711,-0.943428346453899,-0.4532124948356558,-1.7419333736524238,-2.477123343887741
21,2,-0.4943971995308026,-1.0176392921847883,-0.4752334592075264,-1.7504625685543862,-2.497967599865512
22,2,-0.5009076826106056,-1.0705535846178276,-0.4955824775949703,-1.762410658680698,-2.5189754610863617
23,2,-0.5235384974959546,-1.0969480314832694,-0.5150511160288004,-1.8145584940025956,-2.5401274560728604
24,2,-0.5305869372246214,-1.1141247744044385,-0.5329981035215937,-1.8151636131840467,-2.5612787616013875
25,2,-0.5470531636714426,-1.1335049021378754,-0.5515362055787022,-1.8155075720938776,-2.5822934861952365
26,2,-0.5820697321898074,-1.1848602402683746,-0.5764960314397541,-1.8255338624676123,-2.603137932045235
27,2,-0.5928169143689038,-1.32360380135593,-0.6068770217040516,-1.826363706271471,-2.6239378645563747
28,2,-0.6121805992814413,-1.5091666868948692,-0.6396571236604581,-1.8481794986774085,-2.644749704569934
29,2,-0.6508206086456375,-1.6780899918925634,-0.6605745795065981,-1.8499958329665296,-2.6656430628079746
30,2,-0.7003371444503894,-1.7318258034087846,-0.6826017417827048,-1.8612486498822975,-2.6867205867714827
31,2,-0.7065784339184402,-1.7793602227209473,-0.7028975988778688,-1.87762203061416,-2.708097686866365
32,2,-0.7290005482016222,-1.801735410053841,-0.7223820154800917,-1.9367759026031175,-2.7297154105410866
33,2,-0.7346666119315507,-1.8185046835705068,-0.7401657977336121,-1.9377788898332533,-2.751280783232186
34,2,-0.7472052093571742,-1.834110902617628,-0.7586794790751866,-1.938291332981398,-2.7725564277601475
35,2,-0.7816984474125241,-1.8687653260380548,-0.7837452995324485,-1.9485457368073715,-2.793532813128425
36,2,-0.7910400768555454,-1.8818761307789829,-0.814105488607525,-1.949885858232215,-2.814636867020069
37,2,-0.8097132071055125,-1.975326069263292,-0.8452395472572237,-1.97196287710908,-2.837568853702581
38,2,-0.8483464088548155,-1.9890144832722003,-0.8659116557354578,-1.974426213959512,-2.8836982990067974
39,2,-0.8983161973163084,-2.0052873590757727,-0.8878222474762536,-1.9870004969908308,-3.0852443452324665
40,2,-0.9043229512424948,-2.0145636452341518,-0.9076362185222224,-2.0054807133521337,-3.363231105066542
41,2,-0.9246771917719996,-2.042264737805037,-0.9264004397745006,-2.0638915695699707,-3.647375775636236
42,2,-0.9299006541237858,-2.0604812664255654,-0.9435272628663504,-2.064948564529947,-3.931488750298377
43,2,-0.943846341488324,-2.0792206425525994,-0.9609521196085976,-2.0654895186652884,-4.209850968247896
44,2,-0.9767367179278498,-2.101916618158441,-0.9852682990882587,-2.07577465326353,-4.386148047918691
45,2,-0.985466191370122,-2.1827609755386743,-1.0132862456853589,-2.077130192005958,-4.453608590728901
46,2,-1.004048162739551,-2.1988335999524597,-1.0418854344172488,-2.0992058670246747,-4.481880623416733
47,2,-1.0420650119966337,-2.2119515008474377,-1.0625710885781838,-2.101525901159113,-4.504045615274972
48,2,-1.0926689467458568,-2.227991777098867,-1.0845363798344725,-2.1135408443129253,-4.5251052010718364
49,2,-1.0986504300106703,-2.2373761998730157,-1.1047647090474788,-2.130419969203758,-4.54590192438045
50,2,-1.1210274198789432,-2.257845858112892,-1.1240868647844382,-2.189577009713686,-4.566612742313548
51,2,-1.1262022037048824,-2.270313576509668,-1.1415919796601883,-2.1904478856771763,-4.587288375494273
52,2,-1.1422863897748554,-2.289220028446061,-1.1598353396304766,-2.19095247326399,-4.607950773544536
53,2,-1.178200717287082,-2.3140743236216648,-1.1848596734402457,-2.20202872041918,-4.628613337295513
54,2,-1.1870690411217957,-2.395075491271641,-1.2146662302851994,-2.2283236778437194,-4.6493786221551385
55,2,-1.2051230780515207,-2.41105702053544,-1.2461164349074934,-2.443968237679025,-4.672096410145548
56,2,-1.2439522653427342,-2.426095054476097,-1.2669066752796472,-2.708348582243462,-4.761641572050299
57,2,-1.2930069647821134,-2.4485184331340566,-1.2888334697884194,-2.9810032132433264,-5.037854524742568
58,2,-1.299580518781612,-2.4548112858663496,-1.3089105203052758,-3.257519818317283,-5.323252517198468
59,2,-1.3219223630655794,-2.467956298118708,-1.327887730676725,-3.5847677677226084,-5.608819485899565
60,2,-1.328764016416148,-2.47916270873039,-1.3451777065416195,-3.691753317502284,-5.894386553319946
61,2,-1.3451490342269006,-2.5000426523338386,-1.3630870270543491,-3.777720273808877,-6.179813806083256
62,2,-1.3785296435506351,-2.553763299074568,-1.3878091047639265,-3.794163708270823,-6.456427016816736
63,2,-1.3893006362384654,-2.7142288628057365,-1.4171691532338042,-3.807978304131172,-6.659552482266186
